                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.0119,                 1.1625,                 1.3519,                0.01765,                   0.05,                 0.0037,                0.00142,                 3.0285,                 159.06,                 3.7759,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.3732,                 1.2227,                 1.5563,                0.01765,                   0.05,                 0.0037,                0.00142,                 3.0285,                 159.06,                 3.7759,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.4017,                 1.2479,                 1.6274,                0.22556,                   0.15,                0.14787,                0.07582,                 2.3009,                 7.3111,                 3.3614,              0.0008516,              0.0008516,              0.0008516
                     61,                  1.027,                0.97015,                 1.2609,                0.22556,                   0.15,                0.14787,                0.07582,                 2.3009,                 7.3111,                 3.3614,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0054,                 1.0687,                  1.254,                0.23637,                    0.2,                0.11243,                  0.061,                 2.5225,                 6.1777,                 4.3072,               0.000812,               0.000812,               0.000812
                     63,                 1.2753,                 1.3146,                  1.421,                0.23637,                    0.2,                0.11243,                  0.061,                 2.5225,                 6.1777,                 4.3072,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.1382,                 1.1338,                 1.3993,                0.22282,                    0.1,                0.05703,                 0.0299,                  2.591,                 5.1766,                 3.2966,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.3581,                 1.1945,                 1.4926,                0.22282,                    0.1,                0.05703,                 0.0299,                  2.591,                 5.1766,                 3.2966,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.3848,                  1.243,                 1.6547,                 0.3019,                   0.25,                 0.1357,                0.07539,                 2.1967,                  3.726,                 2.3906,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.1717,                 1.0957,                 1.5096,                 0.3019,                   0.25,                 0.1357,                0.07539,                 2.1967,                  3.726,                 2.3906,               0.000713,               0.000713,               0.000713
                     68,                 1.3254,                 1.3558,                   1.65,                0.28546,                   0.15,                0.07374,                0.03845,                  2.781,                 4.5054,                 4.7775,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.1012,                 1.0098,                 1.3379,                0.28546,                   0.15,                0.07374,                0.03845,                  2.781,                 4.5054,                 4.7775,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.1552,                 1.0623,                 1.4186,                 0.6126,                   0.35,                0.30837,                0.16563,                 2.0395,                 3.8812,                 2.4611,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.1352,                 1.1832,                   1.39,                 0.6126,                   0.35,                0.30837,                0.16563,                 2.0395,                 3.8812,                 2.4611,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.2745,                 1.3984,                  1.547,                0.96148,                   0.75,                0.82686,                0.48183,                 1.3578,                 3.0503,                 1.4573,               0.000614,               0.000614,               0.000614
                     73,                 1.0604,                 1.0388,                 1.3936,                0.96148,                   0.75,                0.82686,                0.48183,                 1.3578,                 3.0503,                 1.4573,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.1362,                 1.0807,                 1.3544,                0.76178,                    0.8,                 0.8428,                0.50322,                 1.3404,                 2.2214,                 1.4034,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.1865,                 1.0208,                 1.4483,                0.76178,                    0.8,                 0.8428,                0.50322,                 1.3404,                 2.2214,                 1.4034,              0.0005546,              0.0005546,              0.0005546
                     76,                0.95133,                0.99772,                 1.3489,                 0.6625,                   0.55,                0.56321,                0.34205,                 1.4089,                 2.4173,                 1.4986,              0.0005348,              0.0005348,              0.0005348
                     77,                0.97872,                0.96816,                 1.3311,                 0.6625,                   0.55,                0.56321,                0.34205,                 1.4089,                 2.4173,                 1.4986,               0.000515,               0.000515,               0.000515
                     78,                 1.0242,                0.94612,                 1.2735,                0.56009,                   0.35,                0.36806,                0.18862,                 1.7685,                 3.3655,                 1.6684,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.0121,                0.90123,                 1.2729,                0.56009,                   0.35,                0.36806,                0.18862,                 1.7685,                 3.3655,                 1.6684,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.1331,                 1.0123,                 1.4445,                0.29822,                   0.35,                0.29501,                0.15852,                 1.8427,                 3.5722,                 1.8398,              0.0004556,              0.0004556,              0.0004556
                     81,                0.95579,                0.90298,                 1.2807,                0.29822,                   0.35,                0.29501,                0.15852,                 1.8427,                 3.5722,                 1.8398,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.1322,                 1.0077,                 1.4803,                0.45409,                   0.45,                0.36094,                0.25037,                 1.6821,                 2.8983,                 1.5666,               0.000416,               0.000416,               0.000416
                     83,                0.84569,                0.78606,                 1.2155,                0.45409,                   0.45,                0.36094,                0.25037,                 1.6821,                 2.8983,                 1.5666,              0.0003962,              0.0003962,              0.0003962
                     84,                  0.917,                0.91364,                 1.1878,                0.59987,                    0.4,                0.45158,                0.27851,                 1.6419,                 2.4063,                 1.4977,              0.0003764,              0.0003764,              0.0003764
                     85,                0.88029,                0.80616,                 1.1925,                0.59987,                    0.4,                0.45158,                0.27851,                 1.6419,                 2.4063,                 1.4977,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.0761,                 1.0626,                 1.3534,                0.73311,                   0.65,                0.65161,                0.39717,                 1.4886,                 1.8283,                 1.3995,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.0912,                 1.0523,                 1.3762,                0.73311,                   0.65,                0.65161,                0.39717,                 1.4886,                 1.8283,                 1.3995,               0.000317,               0.000317,               0.000317
                     88,                0.83498,                 0.7782,                 1.2181,                0.71667,                    0.7,                0.70385,                  0.435,                 1.5815,                 1.5566,                 1.4847,              0.0002972,              0.0002972,              0.0002972
                     89,                0.81976,                0.85544,                 1.1225,                0.71667,                    0.7,                0.70385,                  0.435,                 1.5815,                 1.5566,                 1.4847,              0.0002774,              0.0002774,              0.0002774
                     90,                0.92354,                 1.0052,                 1.2651,                0.79948,                0.79754,                0.79443,                0.48657,                 1.5068,                  1.313,                 1.4549,              0.0002576,              0.0002576,              0.0002576
                     91,                0.71549,                0.72288,                 1.1013,                0.79948,                0.79754,                0.79443,                0.48657,                 1.5068,                  1.313,                 1.4549,              0.0002378,              0.0002378,              0.0002378
                     92,                0.79794,                0.76239,                 1.3394,                0.93262,                0.69254,                0.80254,                0.48649,                 1.4632,                 1.3629,                 1.4342,               0.000218,               0.000218,               0.000218
                     93,                0.81142,                0.68424,                  1.378,                0.93262,                0.69254,                0.80254,                0.48649,                 1.4632,                 1.3629,                 1.4342,              0.0001982,              0.0001982,              0.0001982
                     94,                0.74275,                0.72744,                  1.322,                0.90115,                    0.7,                0.84299,                0.51571,                 1.4701,                 1.3111,                 1.4386,              0.0001784,              0.0001784,              0.0001784
                     95,                0.77361,                0.67435,                 1.3174,                0.90115,                    0.7,                0.84299,                0.51571,                 1.4701,                 1.3111,                 1.4386,              0.0001586,              0.0001586,              0.0001586
                     96,                0.67981,                0.70066,                 1.2464,                0.90446,                   0.75,                0.87814,                0.55975,                 1.4437,                 1.2338,                 1.4213,              0.0001388,              0.0001388,              0.0001388
                     97,                 0.7321,                0.68682,                 1.1926,                0.90446,                   0.75,                0.87814,                0.55975,                 1.4437,                 1.2338,                 1.4213,               0.000119,               0.000119,               0.000119
                     98,                0.72734,                0.68626,                 1.2475,                0.93797,                 0.7564,                0.89443,                0.58854,                 1.4041,                 1.2081,                 1.4075,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.73447,                0.63998,                 1.3075,                0.93797,                 0.7564,                0.89443,                0.58854,                 1.4041,                 1.2081,                 1.4075,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.70301,                0.62582,                 1.2644,                0.93665,                0.73977,                0.88921,                0.58789,                 1.3814,                 1.1561,                 1.3714,               5.96e-05,               5.96e-05,               5.96e-05
